	x	y	theta	v	a	sigma	omega	t
0	11.2437810945274	6.14427860696518	-1.70786250110508	0.0001	1.0	0.18192680566407382	0.01550258026830638	0.08523778834984634
1	11.24377718686103	6.144271125619755	-1.7078619411163112	0.08533779899907434	0.9720618371196256	0.18324821131986033	0.02732865100762977	0.17047557669969268
2	11.240442810459907	6.137887345987505	-1.707380559492721	0.16819420013442182	0.8930591137182531	0.18557764509033553	0.03571187557813747	0.255713365049539
3	11.233882797374196	6.125302249472461	-1.706419460809494	0.2443165838534228	0.8204348536084255	0.1886216463824406	0.04107899196382605	0.34095115339938536
4	11.224387975918786	6.107012169338336	-1.7049999497525752	0.31424863626011923	0.7536413027930562	0.1921231288050777	0.043828119076095164	0.4261889417492317
5	11.212240256448688	6.083469531155505	-1.703139413888615	0.3784873541192816	0.6921835384451774	0.195858940742657	0.04432826801751962	0.511426730099078
6	11.1977115840064	6.0550871797530705	-1.700853883526345	0.43748754806850576	0.6356141757294775	0.19963738426984864	0.042919349985298456	0.5966645184489243
7	11.18106317988227	6.022242252378473	-1.6981597858670974	0.4916658946514843	0.5835285001835199	0.20329573474000737	0.039912559012555957	0.6819023067987706
8	11.16254492551606	5.98527966916462	-1.6950750735857274	0.5414045734462186	0.5355600194462955	0.20669779299761915	0.03559102989876036	0.7671400951486169
9	11.142394818132237	5.944515289272464	-1.691619873490223	0.5870545250324105	0.4913764206935733	0.2097314936712814	0.03021069590491332	0.8523778834984632
10	11.120838473652146	5.900238766293071	-1.6878167729002258	0.6289383643795843	0.45067591644316357	0.2123065865747246	0.024001292812460762	0.9376156718483095
11	11.098088678335435	5.852716127426178	-1.6836908386315617	0.6673529827597302	0.4131839586420337	0.21435240369159445	0.017167473590028983	1.0228534601981558
12	11.074345003090176	5.802192095860445	-1.6792694449531347	0.7025718695760026	0.3786502988995418	0.21581572117196154	0.009890010501498925	1.1080912485480021
13	11.049793498282247	5.748892173333263	-1.6745819717439925	0.7348471836121995	0.34684637124942497	0.2166587237938647	0.00232706931777139	1.1933290368978484
14	11.024606485555344	5.693024499043396	-1.6696594216275968	0.7644116011946624	0.3175629728275555	0.216857078035847	-0.005384455794520567	1.2785668252476947
15	10.998942458991577	5.634781501188042	-1.664533994545531	0.7914799666602784	0.2906082173020011	0.2163981189324533	-0.013127557071234666	1.363804613597541
16	10.972946102497001	5.57434135786819	-1.6592386496286846	0.8162507683793858	0.26580573576666283	0.2152791550012637	-0.020803688710597745	1.4490424019473873
17	10.946748424644111	5.511869284591843	-1.653806677012004	0.8389074614268335	0.2429931000946911	0.21350589458605262	-0.028331315814371583	1.5342801902972336
18	10.920467007008705	5.447518665878496	-1.6482712961858912	0.8596196558631719	0.22202044442132704	0.21109099588499358	-0.03564445097595799	1.61951797864708
19	10.894206357683458	5.381432048410026	-1.6426652924137004	0.8785441875140902	0.2027492614531806	0.20805274171685753	-0.042691194023418005	1.7047557669969262
20	10.868058358313304	5.313742012742663	-1.6370206985450453	0.895826086149919	0.18505135163316208	0.20441383875628644	-0.04943229097422125	1.7899935553467725
21	10.842102790715355	5.2445719398082655	-1.6313685261214712	0.9115994540942746	0.1688079047661992	0.2002003396005771	-0.05583972800507594	1.8752313436966188
22	10.816407927859629	5.174036687344646	-1.6257385469229593	0.9259882665525124	0.1539086954613956	0.1954406846833669	-0.06189537521275714	1.9604691320464651
23	10.79103117357825	5.102243190078387	-1.6201591239670026	0.9391071033614475	0.14025137560009027	0.19016485979114714	-0.06758969326072843	2.0457069203963116
24	10.766019735689756	5.029290996021411	-1.614657089375717	0.9510618204306189	0.12774084892769536	0.18440366382235782	-0.07292051384276138	2.130944708746158
25	10.741411318110078	4.955272749714273	-1.6092576654005462	0.9619501678751439	0.11628871472860991	0.1781880804970663	-0.07789190243727004	2.2161824970960047
26	10.717234818814585	4.880274631725461	-1.6039844241690933	0.9718623607286534	0.10581276932629911	0.17154874700295128	-0.08251310925572347	2.301420285445851
27	10.69351102207141	4.8043767622550515	-1.5988592813265834	0.9808816071651965	0.0962365558147453	0.1645155120601242	-0.0867976117624081	2.3866580737956977
28	10.67025327505986	4.727653575336684	-1.593902518620601	0.989084598341249	0.0874889539448036	0.15711707559944804	-0.09076224978535262	2.4718958621455442
29	10.647468140716166	4.650174168913447	-1.5891328305618728	0.9965419632805428	0.07950380344269352	0.14938070216208849	-0.09442645213809803	2.5571336504953908
30	10.625156020331866	4.5720026349975535	-1.5845673905317792	1.0033186916513965	0.07221955522102932	0.14133200022011472	-0.09781155188364582	2.6423714388452373
31	10.603311741009144	4.493198373216367	-1.580221932051547	1.0094745268140444	0.0655789459567249	0.13299475986248693	-0.10094018591970833	2.727609227195084
32	10.581925104513344	4.413816390295248	-1.5761108413386253	1.0150643311297074	0.05952869236239395	0.12439084165906922	-0.10383577344824309	2.8128470155449303
33	10.560981395332602	4.333907587421881	-1.5722472577197224	1.0201384252100345	0.05401920218054732	0.11554010997874588	-0.10652206709372757	2.898084803894777
34	10.540461846848679	4.253519036963287	-1.5686431789214665	1.0247429025323258	0.04900429949781916	0.10646040456922329	-0.1090227699227498	2.9833225922446234
35	10.520344065442222	4.17269424965029	-1.5653095686990521	1.0289199206411517	0.04444096242587858	0.09716754478123472	-0.11136121135387907	3.06856038059447
36	10.500602413108375	4.091473433087528	-1.5622564646764465	1.0327079699904709	0.04028907154315313	0.08767536141747113	-0.11356007488990189	3.1537981689443164
37	10.481208349758036	4.009893742274139	-1.5594930846493167	1.0361421213434767	0.03651116775302786	0.07799575178901393	-0.11564117071292454	3.239035957294163
